character,male 20-,male 20~30,male 30~40,male 40~50,male 50~60,male 60+,female 20-,female 20~30,female 30~40,female 40~50,female 50~60,female 60+,total male,total female,sex ratio(male/female)
兆,0,0,2,10,6,1,0,0,0,0,0,0,19,0,1000.0
伯,0,0,4,8,5,0,0,0,0,1,0,0,17,1,4.53
齊,0,1,4,9,1,1,0,1,1,0,0,0,16,2,2.13
崇,0,1,4,6,7,0,0,0,0,0,0,0,18,0,1000.0
澤,0,2,4,8,2,2,0,0,0,0,0,0,18,0,1000.0
邦,0,0,4,5,8,1,0,0,0,0,0,0,18,0,1000.0
郁,0,2,1,4,0,0,0,1,5,3,2,0,7,11,0.17
潔,0,0,0,3,1,0,0,2,4,7,1,0,4,14,0.08
斌,0,0,2,11,4,1,0,0,0,0,0,0,18,0,1000.0
章,0,0,2,6,9,1,0,0,0,0,0,0,18,0,1000.0
錫,0,1,0,6,5,5,0,0,0,0,1,0,17,1,4.53
誌,0,1,5,7,4,0,0,0,0,0,1,0,17,1,4.53
超,0,1,1,9,6,1,0,0,0,0,0,0,18,0,1000.0
勇,0,1,4,7,4,2,0,0,0,0,0,0,18,0,1000.0
敬,0,0,7,4,3,2,0,0,1,1,0,0,16,2,2.13
婉,0,0,0,0,0,0,0,1,6,8,3,0,0,18,0.001
樺,0,3,3,5,2,0,0,0,2,1,2,0,13,5,0.69
培,0,1,1,7,5,1,0,0,0,3,0,0,15,3,1.33
旻,0,0,7,4,4,0,0,0,2,0,0,0,15,2,2.0
基,0,1,0,5,7,4,0,0,0,0,0,0,17,0,1000.0
山,0,1,1,4,9,2,0,0,0,0,0,0,17,0,1000.0
宸,1,4,3,8,1,0,0,0,0,0,0,0,17,0,1000.0
易,0,1,4,8,2,0,0,0,1,0,1,0,15,2,2.0
沛,0,1,3,3,3,1,0,0,5,0,1,0,11,6,0.49
莉,0,0,0,0,0,0,0,1,2,7,6,1,0,17,0.001
晉,0,2,6,7,1,0,0,1,0,0,0,0,16,1,4.27
珮,0,0,0,0,0,0,0,1,2,11,3,0,0,17,0.001
閔,0,3,6,7,1,0,0,0,0,0,0,0,17,0,1000.0
展,0,1,3,9,3,0,0,0,0,0,0,0,16,0,1000.0
昆,0,0,3,8,5,0,0,0,0,0,0,0,16,0,1000.0
詩,0,0,0,1,0,0,0,1,5,8,1,0,1,15,0.02
鈺,0,1,4,2,0,0,0,0,3,5,1,0,7,9,0.21
舜,0,2,3,8,1,0,0,0,0,0,2,0,14,2,1.87
奇,0,0,8,3,5,0,0,0,0,0,0,0,16,0,1000.0
茂,0,0,0,7,6,3,0,0,0,0,0,0,16,0,1000.0
淳,0,0,4,5,0,0,0,1,2,3,1,0,9,7,0.34
珍,0,0,0,0,1,1,0,0,0,7,7,0,2,14,0.04
騰,0,1,6,7,2,0,0,0,0,0,0,0,16,0,1000.0
碩,0,0,4,8,2,0,0,0,0,1,0,0,14,1,3.73
治,0,2,5,2,4,1,0,0,0,1,0,0,14,1,3.73
馨,0,1,0,1,1,0,0,1,3,8,0,0,3,12,0.07
煌,0,0,1,7,4,3,0,0,0,0,0,0,15,0,1000.0
業,0,0,4,3,6,2,0,0,0,0,0,0,15,0,1000.0
丞,0,4,5,5,1,0,0,0,0,0,0,0,15,0,1000.0
陽,0,0,3,5,6,1,0,0,0,0,0,0,15,0,1000.0
堅,0,1,2,5,5,2,0,0,0,0,0,0,15,0,1000.0
